"sysdescription","armasterid","csrnotes","approved","remaingtime","taskstatus","ccdatesetup","ccscheduledshipdate","earlieststartdate","qtyshipped","arsalesid","jobordertype","ccmasterid","ccpromisedate","ccdescription","quantityordered","ccdescription2","ccstatus","arcsrname","description","arsalesname","arcustname"
"Scheduled       ","BCBS    ",NULL,"Process Complete                                  ",NULL,"No Remaining Task","2019-09-26","2019-10-08","2019-09-26",NULL,2,NULL,"53893       ","2019-10-15","BC South Carolina AEP ACA Drop 1 Postcards (4 vers",17672,NULL,"1","Rose Silverio    ","Sheetfed                                          ","Lorenzo Cosio    ","BCBSFL D/B/A Florida Blue                                   "
"Scheduled       ","FLORE   ",NULL,"Process Ready                                     ","5","Remaining Task","2019-09-30","2019-10-18","2019-09-25",NULL,8,NULL,"53904       ","2019-10-18","Safe Staff / Mgr Review                           ",8000,NULL,"1","Armando Ruiz     ","Mix                                               ","Andy Sanchez     ","Florida Restaurant Association                              "
"Scheduled       ","FLOIN   ",NULL,"Process Complete                                  ","2","Remaining Task","2019-09-24","2019-10-09","2019-09-24",NULL,2,NULL,"53879       ","2019-10-09","ADM Master's Search Piece Sept 2019 CB663         ",3500,"ENGINEERING EXPO BROCHURE 2019
PREV EST #66452  #63980 #61165 #42747","1","Deena Huffaker   ","Sheetfed                                          ","Lorenzo Cosio    ","Florida International University                            "
"Scheduled       ","CULV    ",NULL,"Process Complete                                  ","25","Remaining Task","2019-09-16","2019-10-04","2019-09-16",NULL,2,NULL,"53838       ","2019-10-04","11789 SCE Contractor Mailer Quint                 ",96000,NULL,"1","Deena Huffaker   ","Web                                               ","Lorenzo Cosio    ","Culver Company, LLC                                         "
"Scheduled       ","PUBLX   ","Paper band in 50
Pack 500 per carton.\
White cartons.
","Process Ready                                     ","127","Remaining Task","2019-10-01","2019-10-29","2019-10-01",NULL,1,1,"53905       ","2019-11-01","13859 - 2019 Fresh Product Promo Deli Bakery 12pgs",741000,NULL,"1","Armando Ruiz     ","Web                                               ","Robert Hernandez ","Publix Supermarkets                                         "
"Scheduled       ","STVM    ",NULL,"Process Complete                                  ","9","Remaining Task","2019-08-14","2019-09-13","2019-08-14",NULL,4,NULL,"53579       ","2019-09-13","Cigarette Boxes-Revised Pricing                   ",1000000,NULL,"1","Deena Huffaker   ","Sheetfed                                          ","Freddy Latour    ","St Vincent Manufacturing Co LTD                             "
"Scheduled       ","PUBLX   ","POP kits due 10/24
Newspapers due 10/28","Process Ready                                     ","55","Remaining Task","2019-09-19","2019-10-21","2019-10-07",NULL,1,1,"53860       ","2019-10-24","11540 – Thanksgiving Co-op FSI 8pg Press Product  ",3697679,NULL,"1","Armando Ruiz     ","Web                                               ","Robert Hernandez ","Publix Supermarkets                                         "
"Scheduled       ","FARM    ",NULL,"Process Complete                                  ","25","Remaining Task","2019-09-17","2019-10-04","2019-09-17",54400,2,NULL,"53852       ","2019-10-04","Farmasi US Catalog 120+4 PB                       ",150000,NULL,"1","Deena Huffaker   ","Mix                                               ","Lorenzo Cosio    ","Farmasi US LLC                                              "
"Scheduled       ","SSC     ","Double Wall Cartons","Process Complete                                  ","40","Remaining Task","2019-09-17","2019-10-09","2019-09-17",NULL,1,NULL,"53851       ","2019-10-09","2020/2021 CALENDAR AT A GLANCE - 12-PAGE + COVER  ",191000,"2020 CALENDAR AT A GLANCE - 8-PAGE + COVER","1","Armando Ruiz     ","Mix                                               ","Robert Hernandez ","Silversea Cruises Ltd, Inc                                  "
"Scheduled       ","LSD     ",NULL,"Process Complete                                  ","3","Remaining Task","2019-08-19","2019-12-02","2019-08-19",6890,7,NULL,"53612       ","2019-12-02","Postcard 1 version                                ",21500,NULL,"1","Deena Huffaker   ","Sheetfed                                          ","Eric Hernandez   ","LampScapes Designs                                          "
"Scheduled       ","PNM     ",NULL,"Process Complete                                  ","3","Remaining Task","2019-10-02","2019-10-10","2019-10-08",NULL,3,NULL,"53909       ","2019-10-10","The Autism Notebook Oct/Nov 2019 32 pg self       ",14300,NULL,"1","Rose Silverio    ","Web                                               ","Michele Santos   ","The Parent Notebook Magazine                                "
"Scheduled       ","CACL    ",NULL,"Process Complete                                  ","2","Remaining Task","2019-09-20","2019-10-04","2019-09-20",100000,4,NULL,"53864       ","2019-10-04","Note Cards 6 Versions                             ",192000,NULL,"1","Deena Huffaker   ","Sheetfed                                          ","Freddy Latour    ","Carnival Cruise Line                                        "
"Scheduled       ","CVS     ","APPROVAL OF SAMPLES REQUIRED BEFORE SHIPPING","Process Ready                                     ","260","Remaining Task","2019-05-22","2019-10-28","2019-09-30",NULL,1,1,"53066       ","2019-10-31","NEW NPG Saddle Stitch w/ Reply Envelope 28+cov+6+6",300000,NULL,"1","Armando Ruiz     ","Mix                                               ","Robert Hernandez ","CVS Caremark                                                "
"Scheduled       ","UMSCC   ",NULL,"Process Complete                                  ","12","Remaining Task","2019-09-13","2019-10-07","2019-09-16",NULL,2,NULL,"53832       ","2019-10-07","SCCCD NCI DM Option 1                             ",8000,NULL,"1","Deena Huffaker   ","Mix                                               ","Lorenzo Cosio    ","UM-Sylvester Comprehensive Cancer Center                    "
"Scheduled       ","CULV    ",NULL,"Process Complete                                  ",NULL,"No Remaining Task","2019-09-10","2019-09-25","2019-09-10",10347,2,NULL,"53750       ","2019-09-25","#11674C Duke Combo Quint Mailer                   ",10500,NULL,"1","Deena Huffaker   ","Sheetfed                                          ","Lorenzo Cosio    ","Culver Company, LLC                                         "
"Scheduled       ","LEXINT  ",NULL,"Process Complete                                  ",NULL,"Remaining Task","2019-09-19","2019-10-01","2019-09-19",NULL,21,NULL,"53856       ","2019-10-01","LB41G 5 Languages Elegant Box Sleeve              ",5000,NULL,"1","Rose Silverio    ","Sheetfed                                          ","Martin Zenor     ","Lexington International LLC                                 "
"Ticket Hold     ","STED    ",NULL,"Process Ready                                     ",NULL,"No Remaining Task","2019-06-12","2019-07-16","2019-06-12",NULL,4,NULL,"53165       ","2019-07-16","MI Algebra 1 Course Workbook 272+4                ",25000,NULL,"T","Deena Huffaker   ","Mix                                               ","Freddy Latour    ","Study Edge LLC                                              "
"Scheduled       ","REPH    ",NULL,"Process Complete                                  ",NULL,"No Remaining Task","2019-08-07","2019-09-17","2019-08-16",18745,4,NULL,"53529       ","2019-09-17","Azamara Destination Guide 108+4+4                 ",20000,NULL,"1","Deena Huffaker   ","Mix                                               ","Freddy Latour    ","Republica Havas, LLC                                        "
