sysdescription	armasterid	csrnotes	approved	remaingtime	taskstatus	ccdatesetup	ccscheduledshipdate	earlieststartdate	qtyshipped	arsalesid	jobordertype	ccmasterid	ccpromisedate	ccdescription	quantityordered	ccdescription2	ccstatus	arcsrname	description	arsalesname	arcustname
Scheduled       	BCBS    	Job will stitch	Process Complete                                  	NULL	No Remaining Task	9/26/2019	10/8/2019	9/26/2019	1000	2	1	53893	10/15/2019	BC South Carolina AEP ACA Drop 1 Postcards (4 vers	17672	NULL	1	Rose Silverio    	Sheetfed                                          	Lorenzo Cosio    	BCBSFL D/B/A Florida Blue                                   
Scheduled       	FLORE   	Job will stitch	Process Ready                                     	5	Remaining Task	9/30/2019	10/18/2019	9/25/2019	10001	8	1	53904	10/18/2019	Safe Staff / Mgr Review                           	8000	NULL	1	Armando Ruiz     	Mix                                               	Andy Sanchez     	Florida Restaurant Association                              
Scheduled       	FLOIN   	Job will stitch	Process Complete                                  	2	Remaining Task	9/24/2019	10/9/2019	9/24/2019	2001	2	1	53879	10/9/2019	ADM Master's Search Piece Sept 2019 CB663         	3500	"ENGINEERING EXPO BROCHURE 2019
PREV EST #66452  #63980 #61165 #42747"	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Florida International University                            
Scheduled       	CULV    	Job will stitch	Process Complete                                  	25	Remaining Task	9/16/2019	10/4/2019	9/16/2019	4000	2	1	53838	10/4/2019	11789 SCE Contractor Mailer Quint                 	96000	NULL	1	Deena Huffaker   	Web                                               	Lorenzo Cosio    	"Culver Company, LLC                                         "
Scheduled       	PUBLX   	Job will stitch	Process Ready                                     	127	Remaining Task	10/1/2019	10/29/2019	10/1/2019	8722	1	1	53905	11/1/2019	13859 - 2019 Fresh Product Promo Deli Bakery 12pgs	741000	NULL	1	Armando Ruiz     	Web                                               	Robert Hernandez 	Publix Supermarkets                                         
Scheduled       	STVM    	Job will stitch	Process Complete                                  	9	Remaining Task	8/14/2019	9/13/2019	8/14/2019	8100	4	1	53579	9/13/2019	Cigarette Boxes-Revised Pricing                   	1000000	NULL	1	Deena Huffaker   	Sheetfed                                          	Freddy Latour    	St Vincent Manufacturing Co LTD                             
Scheduled       	PUBLX   	Job will stitch	Process Ready                                     	55	Remaining Task	9/19/2019	10/21/2019	10/7/2019	2300	1	1	53860	10/24/2019	11540 Thanksgiving Co-op FSI 8pg Press Product  	3697679	NULL	1	Armando Ruiz     	Web                                               	Robert Hernandez 	Publix Supermarkets                                         
Scheduled       	FARM    	Job will stitch	Process Complete                                  	25	Remaining Task	9/17/2019	10/4/2019	9/17/2019	54400	2	1	53852	10/4/2019	Farmasi US Catalog 120+4 PB                       	150000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	Farmasi US LLC                                              
Scheduled       	SSC     	Job will stitch	Process Complete                                  	40	Remaining Task	9/17/2019	10/9/2019	9/17/2019	5897	1	1	53851	10/9/2019	2020/2021 CALENDAR AT A GLANCE - 12-PAGE + COVER  	191000	2020 CALENDAR AT A GLANCE - 8-PAGE + COVER	1	Armando Ruiz     	Mix                                               	Robert Hernandez 	"Silversea Cruises Ltd, Inc                                  "
Scheduled       	LSD     	Job will stitch	Process Complete                                  	3	Remaining Task	8/19/2019	12/2/2019	8/19/2019	6890	7	1	53612	12/2/2019	Postcard 1 version                                	21500	NULL	1	Deena Huffaker   	Sheetfed                                          	Eric Hernandez   	LampScapes Designs                                          
Scheduled       	PNM     	Job will stitch	Process Complete                                  	3	Remaining Task	10/2/2019	10/10/2019	10/8/2019	33241	3	1	53909	10/10/2019	The Autism Notebook Oct/Nov 2019 32 pg self       	14300	NULL	1	Rose Silverio    	Web                                               	Michele Santos   	The Parent Notebook Magazine                                
Scheduled       	CACL    	Job will stitch	Process Complete                                  	2	Remaining Task	9/20/2019	10/4/2019	9/20/2019	100000	4	1	53864	10/4/2019	Note Cards 6 Versions                             	192000	NULL	1	Deena Huffaker   	Sheetfed                                          	Freddy Latour    	Carnival Cruise Line                                        
Scheduled       	CVS     	Job will stitch	Process Ready                                     	260	Remaining Task	5/22/2019	10/28/2019	9/30/2019	20000	1	1	53066	10/31/2019	NEW NPG Saddle Stitch w/ Reply Envelope 28+cov+6+6	300000	NULL	1	Armando Ruiz     	Mix                                               	Robert Hernandez 	CVS Caremark                                                
Scheduled       	UMSCC   	Job will stitch	Process Complete                                  	12	Remaining Task	9/13/2019	10/7/2019	9/16/2019	1000	2	1	53832	10/7/2019	SCCCD NCI DM Option 1                             	8000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	UM-Sylvester Comprehensive Cancer Center                    
Scheduled       	CULV    	Job will stitch	Process Complete                                  	55	No Remaining Task	9/10/2019	9/25/2019	9/10/2019	10347	2	1	53750	9/25/2019	#11674C Duke Combo Quint Mailer                   	10500	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	"Culver Company, LLC                                         "
Scheduled       	LEXINT  	Job will stitch	Process Complete                                  	25	Remaining Task	9/19/2019	10/1/2019	9/19/2019	3000	21	1	53856	10/1/2019	LB41G 5 Languages Elegant Box Sleeve              	5000	NULL	1	Rose Silverio    	Sheetfed                                          	Martin Zenor     	Lexington International LLC                                 
Ticket Hold     	STED    	Job will stitch	Process Ready                                     	40	No Remaining Task	6/12/2019	7/16/2019	6/12/2019	40000	4	1	53165	7/16/2019	MI Algebra 1 Course Workbook 272+4                	25000	NULL	T	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	REPH    	Job will stitch	Process Complete                                  	3	No Remaining Task	8/7/2019	9/17/2019	8/16/2019	18745	4	1	53529	9/17/2019	Azamara Destination Guide 108+4+4                 	20000	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	"Republica Havas, LLC                                        "
Scheduled       	STCS    	Job will stitch	Process Ready                                     	3	Remaining Task	10/4/2019	10/25/2019	10/4/2019	18745	3	1	53927	10/25/2019	NCL Encore Inaugural Book 40+4                    	5070	NULL	1	Rose Silverio    	Sheetfed                                          	Michele Santos   	"Starboard Cruise Services, Inc                              "
Ticket Hold     	STED    	Job will stitch	Process Ready                                     	2	No Remaining Task	6/12/2019	7/16/2019	6/12/2019	18745	4	1	53163	7/16/2019	NYC Algebra 1 Course Book 280+4 PB                	25000	NULL	T	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	CULV    	Job will stitch	Process Complete                                  	1	Remaining Task	9/16/2019	10/7/2019	9/20/2019	18745	2	1	53840	10/7/2019	TREE MAILING PROJECT 11787                        	7250	AG MAILING PROJECT #11351 (QUOTE ID #3127-28-29-30-31)	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	"Culver Company, LLC                                         "
Scheduled       	CULV    	Job will stitch	Process Complete                                  	2	Remaining Task	9/13/2019	10/7/2019	9/13/2019	18745	2	1	53836	10/7/2019	#11794 SCE FR Insertion Mailing                   	6000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	"Culver Company, LLC                                         "
Scheduled       	HHAD    	Job will stitch	Process Complete                                  	10	Remaining Task	6/19/2019	8/2/2019	7/3/2019	53860	10	1	53242	8/2/2019	Sandals Dining Brochure 32+4 SAN-38818            	200000	NULL	1	Armando Ruiz     	Mix                                               	Jorge J Hernandez	HH Advertising                                              
Scheduled       	SRQ     	Job will stitch	Process Ready                                     	38	Remaining Task	10/4/2019	10/14/2019	10/7/2019	53860	3	1	53928	10/15/2019	SRQ Love Local Book 2019 80+4                     	20000	NULL	1	Rose Silverio    	Sheetfed                                          	Michele Santos   	Trafalger Communications Inc / SRQ Magazine                 
Scheduled       	MDCF    	Job will stitch	Process Ready                                     	56	Remaining Task	9/18/2019	3/3/2020	2/18/2020	53860	3	1	53853	3/3/2020	MDC YOUTH FAIR GUIDE 12-PAGE self                 	100000	"MDC YOUTH FAIR GUIDE 12-PAGE - 8 X 9 SIZE SOFT FOLD TO 4 X 9 - REG PRICE - REMOTE PROOFS
WEB - PREV EST #62916 #60774 #60481  #41178
SEE EST ##60462 FOR SHEET-FED


"	1	Rose Silverio    	Web                                               	Michele Santos   	"Miami Dade County Fair & Exposition, Inc                    "
Scheduled       	LEXINT  	Job will stitch	Process Complete                                  	55	Remaining Task	9/18/2019	10/1/2019	9/18/2019	53860	21	1	53854	10/1/2019	Ultima 12/9 Classic 5 Lang 1ver Elegant Box Sleeve	5000	NULL	1	Rose Silverio    	Sheetfed                                          	Martin Zenor     	Lexington International LLC                                 
Scheduled       	HOUSE   	Job will stitch	Process Complete                                  	25	Remaining Task	9/20/2019	10/31/2019	9/20/2019	53860	10	1	53865	10/31/2019	Solo 2020 Calendar 32pgs                          	4500	NULL	1	Armando Ruiz     	Sheetfed                                          	Jorge J Hernandez	Internal Customer                                           
Scheduled       	APGE    	Job will stitch	Process Complete                                  	40	Remaining Task	9/26/2019	10/11/2019	9/26/2019	53860	2	1	53895	10/11/2019	Official Guide of Fantasy Fest-Rev. Proofs & Ship 	20000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	"APG/East LLC, dba The Key West Citizen                      "
Scheduled       	EAIR    	Job will stitch	Process Complete                                  	3	Remaining Task	9/23/2019	10/11/2019	9/23/2019	53860	9	1	53869	10/11/2019	Comforstar VRF Plus Catalog 84 page self          	2000	NULL	1	Rose Silverio    	Web                                               	Liz Suarez       	Eair LLC                                                    
Scheduled       	THERA   	Job will stitch	Process Ready                                     	3	Remaining Task	10/2/2019	10/16/2019	10/2/2019	53860	21	1	53911	10/16/2019	BiJuva Scientific Compendium BJVA  8+ 6 pocket cvr	10000	NULL	1	Rose Silverio    	Sheetfed                                          	Martin Zenor     	TherapeuticsMD                                              
Scheduled       	WDW     	Job will stitch	Process Ready                                     	2	Remaining Task	9/23/2019	11/8/2019	10/14/2019	53860	9	1	53867	11/9/2019	Your Take Along Guide-2019-2023 Cont (2nd Run)    	600000	NULL	1	Rose Silverio    	Web                                               	Liz Suarez       	Walt Disney World Creative Services                         
Scheduled       	SSC     	Job will stitch	Process Complete                                  	51	Remaining Task	9/19/2019	10/17/2019	9/25/2019	53860	1	1	53855	10/17/2019	DM 1909041338 Far East DM 20+4                    	57890	NULL	1	Armando Ruiz     	Sheetfed                                          	Robert Hernandez 	"Silversea Cruises Ltd, Inc                                  "
Scheduled       	GMCVB   	Job will stitch	Process Complete                                  	5	Remaining Task	8/29/2019	10/15/2019	10/1/2019	53860	2	1	53677	10/15/2019	Year In Review 60+4 PB                            	750	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Greater Miami Convention & Visitor Bureau                   
Scheduled       	MILES   	Job will stitch	Process Ready                                     	77	Remaining Task	5/20/2019	12/16/2019	11/29/2019	53860	3	1	53056	12/17/2019	VSC-VG 2020 72+4 & VSC-RG 2020 72+4+8 insert      	120000	40m VG & 60m RG	1	Armando Ruiz     	Mix                                               	Michele Santos   	"Miles Media Group, LLC                                      "
Scheduled       	FLOIN   	Job will stitch	Process Complete                                  	1	Remaining Task	9/27/2019	10/9/2019	9/27/2019	53860	2	1	53901	10/9/2019	19548 ENG CEC FY18-19 Annual Report (CB 576)      	750	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Florida International University                            
Scheduled       	AGAD    	Job will stitch	Process Complete                                  	1	Remaining Task	10/2/2019	10/9/2019	10/2/2019	53860	2	1	53912	10/9/2019	Business Cards 500 each of 11 1m of 1             	500	NULL	1	Rose Silverio    	Digital                                           	Lorenzo Cosio    	Aggressor Adventures LLC                                    
Scheduled       	BCBS    	Job will stitch	Process Complete                                  	17	Remaining Task	10/3/2019	10/10/2019	10/3/2019	53860	2	1	53918	10/14/2019	2019 Military Post Card                           	104490	NULL	1	Rose Silverio    	Sheetfed                                          	Lorenzo Cosio    	BCBSFL D/B/A Florida Blue                                   
Scheduled       	STP     	Job will stitch	Process Ready                                     	25	Remaining Task	8/22/2019	11/25/2019	11/4/2019	53860	2	1	53640	11/25/2019	Ft Myers Winter/Spring Must Do Guides 48+4        	100000	NULL	1	Deena Huffaker   	Web                                               	Lorenzo Cosio    	Siesta Publications Inc                                     
Scheduled       	PUBLX   	Job will stitch	Process Complete                                  	4	Remaining Task	9/23/2019	10/16/2019	9/23/2019	53860	1	1	53874	10/21/2019	11540 2019 Co-Op Aprons Thanksgiving Product Flyer	378000	NULL	1	Armando Ruiz     	Sheetfed                                          	Robert Hernandez 	Publix Supermarkets                                         
