sysdescription	armasterid	csrnotes	approved	remaingtime	taskstatus	ccdatesetup	ccscheduledshipdate	earlieststartdate	qtyshipped	arsalesid	jobordertype	ccmasterid	ccpromisedate	ccdescription	quantityordered	ccdescription2	ccstatus	arcsrname	description	arsalesname	arcustname
Scheduled       	BCBS    	NULL	Process Complete                                  	NULL	No Remaining Task	9/26/2019	10/8/2019	9/26/2019	NULL	2	NULL	53893	10/15/2019	BC South Carolina AEP ACA Drop 1 Postcards (4 vers	17672	NULL	1	Rose Silverio    	Sheetfed                                          	Lorenzo Cosio    	BCBSFL D/B/A Florida Blue                                   
Scheduled       	FLORE   	NULL	Process Ready                                     	5	Remaining Task	9/30/2019	10/18/2019	9/25/2019	NULL	8	NULL	53904	10/18/2019	Safe Staff / Mgr Review                           	8000	NULL	1	Armando Ruiz     	Mix                                               	Andy Sanchez     	Florida Restaurant Association                              
Scheduled       	CULV    	NULL	Process Complete                                  	25	Remaining Task	9/16/2019	10/4/2019	9/16/2019	NULL	2	NULL	53838	10/4/2019	11789 SCE Contractor Mailer Quint                 	96000	NULL	1	Deena Huffaker   	Web                                               	Lorenzo Cosio    	Culver Company, LLC                                         
Scheduled       	STVM    	NULL	Process Complete                                  	9	Remaining Task	8/14/2019	9/13/2019	8/14/2019	NULL	4	NULL	53579	9/13/2019	Cigarette Boxes-Revised Pricing                   	1000000	NULL	1	Deena Huffaker   	Sheetfed                                          	Freddy Latour    	St Vincent Manufacturing Co LTD                             
Scheduled       	FARM    	NULL	Process Complete                                  	25	Remaining Task	9/17/2019	10/4/2019	9/17/2019	54400	2	NULL	53852	10/4/2019	Farmasi US Catalog 120+4 PB                       	150000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	Farmasi US LLC                                              
Scheduled       	SSC     	Double Wall Cartons	Process Complete                                  	40	Remaining Task	9/17/2019	10/9/2019	9/17/2019	NULL	1	NULL	53851	10/9/2019	2020/2021 CALENDAR AT A GLANCE - 12-PAGE + COVER  	191000	2020 CALENDAR AT A GLANCE - 8-PAGE + COVER	1	Armando Ruiz     	Mix                                               	Robert Hernandez 	Silversea Cruises Ltd, Inc                                  
Scheduled       	LSD     	NULL	Process Complete                                  	3	Remaining Task	8/19/2019	12/2/2019	8/19/2019	6890	7	NULL	53612	12/2/2019	Postcard 1 version                                	21500	NULL	1	Deena Huffaker   	Sheetfed                                          	Eric Hernandez   	LampScapes Designs                                          
Scheduled       	PNM     	NULL	Process Complete                                  	3	Remaining Task	10/2/2019	10/10/2019	10/8/2019	NULL	3	NULL	53909	10/10/2019	The Autism Notebook Oct/Nov 2019 32 pg self       	14300	NULL	1	Rose Silverio    	Web                                               	Michele Santos   	The Parent Notebook Magazine                                
Scheduled       	CACL    	NULL	Process Complete                                  	2	Remaining Task	9/20/2019	10/4/2019	9/20/2019	100000	4	NULL	53864	10/4/2019	Note Cards 6 Versions                             	192000	NULL	1	Deena Huffaker   	Sheetfed                                          	Freddy Latour    	Carnival Cruise Line                                        
Scheduled       	CVS     	APPROVAL OF SAMPLES REQUIRED BEFORE SHIPPING	Process Ready                                     	260	Remaining Task	5/22/2019	10/28/2019	9/30/2019	NULL	1	1	53066	10/31/2019	NEW NPG Saddle Stitch w/ Reply Envelope 28+cov+6+6	300000	NULL	1	Armando Ruiz     	Mix                                               	Robert Hernandez 	CVS Caremark                                                
Scheduled       	UMSCC   	NULL	Process Complete                                  	12	Remaining Task	9/13/2019	10/7/2019	9/16/2019	NULL	2	NULL	53832	10/7/2019	SCCCD NCI DM Option 1                             	8000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	UM-Sylvester Comprehensive Cancer Center                    
Scheduled       	CULV    	NULL	Process Complete                                  	NULL	No Remaining Task	9/10/2019	9/25/2019	9/10/2019	10347	2	NULL	53750	9/25/2019	#11674C Duke Combo Quint Mailer                   	10500	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Culver Company, LLC                                         
Scheduled       	REPH    	NULL	Process Complete                                  	NULL	No Remaining Task	8/7/2019	9/17/2019	8/16/2019	18745	4	NULL	53529	9/17/2019	Azamara Destination Guide 108+4+4                 	20000	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Republica Havas, LLC                                        
Ticket Hold     	STED    	NULL	Process Ready                                     	NULL	No Remaining Task	6/12/2019	7/16/2019	6/12/2019	NULL	4	NULL	53163	7/16/2019	NYC Algebra 1 Course Book 280+4 PB                	25000	NULL	T	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	CULV    	NULL	Process Complete                                  	1	Remaining Task	9/16/2019	10/7/2019	9/20/2019	NULL	2	NULL	53840	10/7/2019	TREE MAILING PROJECT 11787                        	7250	AG MAILING PROJECT #11351 (QUOTE ID #3127-28-29-30-31)	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Culver Company, LLC                                         
Scheduled       	CULV    	NULL	Process Complete                                  	2	Remaining Task	9/13/2019	10/7/2019	9/13/2019	NULL	2	NULL	53836	10/7/2019	#11794 SCE FR Insertion Mailing                   	6000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Culver Company, LLC                                         
Scheduled       	HHAD    	NULL	Process Complete                                  	10	Remaining Task	6/19/2019	8/2/2019	7/3/2019	53860	10	1	53242	8/2/2019	Sandals Dining Brochure 32+4 SAN-38818            	200000	NULL	1	Armando Ruiz     	Mix                                               	Jorge J Hernandez	HH Advertising                                              
Scheduled       	SRQ     	NULL	Process Ready                                     	38	Remaining Task	10/4/2019	10/14/2019	10/7/2019	NULL	3	NULL	53928	10/15/2019	SRQ Love Local Book 2019 80+4                     	20000	NULL	1	Rose Silverio    	Sheetfed                                          	Michele Santos   	Trafalger Communications Inc / SRQ Magazine                 
Scheduled       	LEXINT  	NULL	Process Complete                                  	NULL	Remaining Task	9/18/2019	10/1/2019	9/18/2019	NULL	21	NULL	53854	10/1/2019	Ultima 12/9 Classic 5 Lang 1ver Elegant Box Sleeve	5000	NULL	1	Rose Silverio    	Sheetfed                                          	Martin Zenor     	Lexington International LLC                                 
Scheduled       	HOUSE   	NULL	Process Complete                                  	7	Remaining Task	9/20/2019	10/31/2019	9/20/2019	NULL	10	1	53865	10/31/2019	Solo 2020 Calendar 32pgs                          	4500	NULL	1	Armando Ruiz     	Sheetfed                                          	Jorge J Hernandez	Internal Customer                                           
Scheduled       	APGE    	NULL	Process Complete                                  	16	Remaining Task	9/26/2019	10/11/2019	9/26/2019	NULL	2	NULL	53895	10/11/2019	Official Guide of Fantasy Fest-Rev. Proofs & Ship 	20000	NULL	1	Deena Huffaker   	Mix                                               	Lorenzo Cosio    	APG/East LLC, dba The Key West Citizen                      
Scheduled       	EAIR    	NEED 50 to Customer on 10/8 NO HOLES!!!	Process Complete                                  	3	Remaining Task	9/23/2019	10/11/2019	9/23/2019	NULL	9	NULL	53869	10/11/2019	Comforstar VRF Plus Catalog 84 page self          	2000	NULL	1	Rose Silverio    	Web                                               	Liz Suarez       	Eair LLC                                                    
Scheduled       	THERA   	cover to MQ for glueing and inserting supplied PI	Process Ready                                     	16	Remaining Task	10/2/2019	10/16/2019	10/2/2019	NULL	21	NULL	53911	10/16/2019	BiJuva Scientific Compendium BJVA  8+ 6 pocket cvr	10000	NULL	1	Rose Silverio    	Sheetfed                                          	Martin Zenor     	TherapeuticsMD                                              
Scheduled       	WDW     	NULL	Process Ready                                     	160	Remaining Task	9/23/2019	11/8/2019	10/14/2019	NULL	9	NULL	53867	11/9/2019	Your Take Along Guide-2019-2023 Cont (2nd Run)    	600000	NULL	1	Rose Silverio    	Web                                               	Liz Suarez       	Walt Disney World Creative Services                         
Scheduled       	SSC     	NULL	Process Complete                                  	51	Remaining Task	9/19/2019	10/17/2019	9/25/2019	NULL	1	1	53855	10/17/2019	DM 1909041338 Far East DM 20+4                    	57890	NULL	1	Armando Ruiz     	Sheetfed                                          	Robert Hernandez 	Silversea Cruises Ltd, Inc                                  
Scheduled       	GMCVB   	NULL	Process Complete                                  	5	Remaining Task	8/29/2019	10/15/2019	10/1/2019	NULL	2	NULL	53677	10/15/2019	Year In Review 60+4 PB                            	750	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Greater Miami Convention & Visitor Bureau                   
Scheduled       	MILES   	NULL	Process Ready                                     	77	Remaining Task	5/20/2019	12/16/2019	11/29/2019	NULL	3	NULL	53056	12/17/2019	VSC-VG 2020 72+4 & VSC-RG 2020 72+4+8 insert      	120000	40m VG & 60m RG	1	Armando Ruiz     	Mix                                               	Michele Santos   	Miles Media Group, LLC                                      
Scheduled       	FLOIN   	NULL	Process Complete                                  	1	Remaining Task	9/27/2019	10/9/2019	9/27/2019	NULL	2	NULL	53901	10/9/2019	19548 ENG CEC FY18-19 Annual Report (CB 576)      	750	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Florida International University                            
Scheduled       	BCBS    	NULL	Process Complete                                  	17	Remaining Task	10/3/2019	10/10/2019	10/3/2019	NULL	2	NULL	53918	10/14/2019	2019 Military Post Card                           	104490	NULL	1	Rose Silverio    	Sheetfed                                          	Lorenzo Cosio    	BCBSFL D/B/A Florida Blue                                   
Scheduled       	STP     	NULL	Process Ready                                     	25	Remaining Task	8/22/2019	11/25/2019	11/4/2019	NULL	2	NULL	53640	11/25/2019	Ft Myers Winter/Spring Must Do Guides 48+4        	100000	NULL	1	Deena Huffaker   	Web                                               	Lorenzo Cosio    	Siesta Publications Inc                                     
Scheduled       	CULV    	NULL	Process Complete                                  	4	Remaining Task	9/16/2019	10/7/2019	9/17/2019	NULL	2	NULL	53845	10/7/2019	#11786 SCE AG Insertion Mailing                   	15000	AG MAILING PROJECT #11351 (QUOTE ID #3127-28-29-30-31)	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Culver Company, LLC                                         
Scheduled       	IMC     	NULL	Process Complete                                  	4	Remaining Task	10/3/2019	10/17/2019	10/3/2019	NULL	2	NULL	53917	10/17/2019	Turtle Staggered Map-Revised Paper                	15000	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Island Map Co.                                              
Ticket Hold     	AGAD    	15m to MQ for tipping	Process Complete                                  	NULL	No Remaining Task	8/12/2019	9/6/2019	8/12/2019	NULL	2	NULL	53561	9/6/2019	Sea of Change Brochure 12 page self               	19332	NULL	T	Rose Silverio    	Sheetfed                                          	Lorenzo Cosio    	Aggressor Adventures LLC                                    
Scheduled       	MIADA   	NULL	Process Ready                                     	41	Remaining Task	10/2/2019	11/27/2019	11/20/2019	NULL	14	NULL	53913	11/27/2019	Miami Dade College Forum Newsletter Dec. (28pg)   	51000	NULL	1	Armando Ruiz     	Web                                               	Darren Taylor    	Miami Dade College                                          
Scheduled       	CVS     	NULL	Process Complete                                  	1	Remaining Task	9/13/2019	10/9/2019	9/19/2019	NULL	1	NULL	53837	10/14/2019	New Hire Welcome Guides 8pg                       	35000	NULL	1	Armando Ruiz     	Sheetfed                                          	Robert Hernandez 	CVS Caremark                                                
Scheduled       	MCB     	NULL	Process Complete                                  	12	Remaining Task	9/27/2019	10/11/2019	9/30/2010	NULL	2	NULL	53902	10/11/2019	MBC Program One Program 40 pg s/-2 vers covers    	13050	NULL	1	Deena Huffaker   	Sheetfed                                          	Lorenzo Cosio    	Miami City Ballet, Inc                                      
Scheduled       	PRFA    	NULL	Process Complete                                  	1	Remaining Task	7/18/2019	10/11/2019	7/18/2019	NULL	7	NULL	53367	10/11/2019	Hunter Douglas Press Sheets Reprint               	9000	NULL	1	Deena Huffaker   	Sheetfed                                          	Eric Hernandez   	Print Farm Inc                                              
Scheduled       	PETS    	NULL	Process Complete                                  	14	Remaining Task	9/27/2019	10/22/2019	9/29/2019	NULL	20	NULL	53900	10/22/2019	2020 Pet Supermarket Calendars 24+4               	10000	NULL	1	Rose Silverio    	Sheetfed                                          	Viviana Rauseo   	Pet Supermarket                                             
Scheduled       	ANUN    	NULL	Process Ready                                     	7	Remaining Task	10/1/2019	11/15/2019	10/31/2019	NULL	3	NULL	53907	11/15/2019	Palladium Magazine 80+4                           	10000	NULL	1	Rose Silverio    	Mix                                               	Michele Santos   	Anuncia Conmigo S.L.                                        
Scheduled       	STED    	NULL	Process Complete                                  	4	Remaining Task	9/24/2019	10/8/2019	9/24/2019	NULL	4	NULL	53881	10/8/2019	FL Algebra 1 Practice Book-176+4 PB Reprint       	10000	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	HHAD    	Book size 9 x 8. Order cartons.	Process Complete                                  	54	Remaining Task	8/7/2019	10/10/2019	9/24/2019	NULL	10	NULL	53534	10/10/2019	Sandals Bahama Brochure 64+4 SAN-38894            	200000	NULL	1	Armando Ruiz     	Mix                                               	Jorge J Hernandez	HH Advertising                                              
Scheduled       	STCS    	1	Process Complete                                  	3	Remaining Task	10/2/2019	10/11/2019	10/2/2019	NULL	3	NULL	53915	10/11/2019	NCL Encore Inserts 2 Versions                     	28000	NULL	1	Rose Silverio    	Web                                               	Michele Santos   	Starboard Cruise Services, Inc                              
Scheduled       	GCTC    	NULL	Process Ready                                     	32	Remaining Task	10/2/2019	12/20/2019	11/19/2019	NULL	9	NULL	53916	12/18/2019	2020 Official Gulf County Visitor Guide 80+4      	60000	NULL	1	Rose Silverio    	Mix                                               	Liz Suarez       	Gulf County Developmental Council                           
Scheduled       	STED    	NULL	Process Complete                                  	5	Remaining Task	6/10/2019	10/1/2019	6/10/2019	NULL	4	NULL	53129	10/1/2019	FL Algebra 2 Practice Book-216+4 PB               	25000	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Ticket Hold     	WDW     	NULL	Process Ready                                     	NULL	No Remaining Task	10/1/2019	10/18/2019	10/8/2019	NULL	9	NULL	53906	10/18/2019	Companion Insert Contract 2019-2023 2nd Run       	282000	NULL	T	Rose Silverio    	Sheetfed                                          	Liz Suarez       	Walt Disney World Creative Services                         
Scheduled       	STMK    	NULL	Process Ready                                     	24	Remaining Task	9/20/2019	10/31/2019	10/11/2019	NULL	11	NULL	53863	10/31/2019	Underground Brochure-Revised No Cards 60+4        	7000	NULL	1	Deena Huffaker   	Sheetfed                                          	Pete Jacaty      	Starmark International Inc                                  
Scheduled       	STED    	NULL	Process Complete                                  	10	Remaining Task	9/25/2019	10/9/2019	9/25/2019	NULL	4	NULL	53884	10/9/2019	FL Algebra 1 Course Workbook 280+4 PB             	12500	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	ISLAN   	NULL	Process Complete                                  	3	Remaining Task	9/25/2019	10/9/2019	9/26/2019	NULL	10	NULL	53882	10/9/2019	Welcome Magazine (64pg S/C)                       	14000	NULL	1	Armando Ruiz     	Web                                               	Jorge J Hernandez	Island Publishing Serv/Caribbean Printing                   
Scheduled       	STED    	NULL	Process Complete                                  	7	Remaining Task	9/25/2019	10/11/2019	9/25/2019	NULL	4	NULL	53885	10/11/2019	FL Geometry Course Workbook 352+4-PB Reprint      	7500	NULL	1	Deena Huffaker   	Mix                                               	Freddy Latour    	Study Edge LLC                                              
Scheduled       	CAMPUS  	NULL	Process Complete                                  	2	Remaining Task	10/3/2019	10/9/2019	10/3/2019	NULL	21	NULL	53923	10/9/2019	CampusNexus Full Suite 8 page self                	1000	NULL	1	Rose Silverio    	Digital                                           	Martin Zenor     	Campus Management Corp.                                     
Scheduled       	FLOIN   	NULL	Process Complete                                  	19	Remaining Task	7/18/2019	10/16/2019	10/2/2019	NULL	2	NULL	53369	10/16/2019	FIU Magazine 2019-20 32+4                         	122000	NULL	1	Deena Huffaker   	Web                                               	Lorenzo Cosio    	Florida International University                            
